运行命令: .venv/bin/python run_all.py --config configs/default.yaml --out results/all_methods.json

=== wdcnn_src0_seed2026 ===
[wdcnn_src0_seed2026] device=cuda train=4164 val=1041
[wdcnn_src3_seed2026] targets={0: 5205, 1: 6142, 2: 6144}
[wdcnn_src3_seed2026] ep00 loss=2.0262 tr_acc=0.3386 val_acc=0.5049 val_f1=0.3080
[wdcnn_src3_seed2026] ep01 loss=0.9714 tr_acc=0.7303 val_acc=0.8547 val_f1=0.7772
[wdcnn_src3_seed2026] ep02 loss=0.2209 tr_acc=0.9572 val_acc=0.9976 val_f1=0.9970
[wdcnn_src3_seed2026] ep03 loss=0.0253 tr_acc=0.9992 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep04 loss=0.0084 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep05 loss=0.0045 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep06 loss=0.0029 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep07 loss=0.0023 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep08 loss=0.0017 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep09 loss=0.0014 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep10 loss=0.0011 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep11 loss=0.0010 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep12 loss=0.0008 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep13 loss=0.0008 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep14 loss=0.0007 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep15 loss=0.0006 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep16 loss=0.0005 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep17 loss=0.0004 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep18 loss=0.0005 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep19 loss=0.0004 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep20 loss=0.0003 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep21 loss=0.0003 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep22 loss=0.0003 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep23 loss=0.0003 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep24 loss=0.0003 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep25 loss=0.0003 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep26 loss=0.0002 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep27 loss=0.0002 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep28 loss=0.0002 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep29 loss=0.0002 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep30 loss=0.0002 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep31 loss=0.0002 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep32 loss=0.0002 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep33 loss=0.0002 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep34 loss=0.0002 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep35 loss=0.0002 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep36 loss=0.0001 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep37 loss=0.0001 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep38 loss=0.0001 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep39 loss=0.0001 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep40 loss=0.0001 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep41 loss=0.0001 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep42 loss=0.0001 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep43 loss=0.0001 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep44 loss=0.0001 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep45 loss=0.0001 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
[wdcnn_src3_seed2026] ep46 loss=0.0001 tr_acc=1.0000 val_acc=1.0000 val_f1=1.0000
